job_title,domain_category,skills_required,location,stipend,stipend_raw,duration_months,duration_raw,posted_on,intern_type,location_type,skills_count,has_stipend
Business Development (Sales),Sales,,Business Development,8500.0,"₹ 7,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Graphic Design,Design,,"Graphic Design




                            Alphanumeric Ideas Private Limited                        
Actively hiring













Mohali",4000.0,"₹ 2,000 - 6,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Sales,Sales,,"Sales




                            MatchLog Solutions Private Limited                        
Actively hiring













Mumbai",6500.0,"₹ 5,000 - 8,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Customer Acquisition,Design,,"Customer Acquisition




                            Lyceum Tutorial Private Limited                        
Actively hiring













Mumbai",15000.0,"₹ 10,000 - 20,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,,Business Development,10000.0,"₹ 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Sales and Marketing,Marketing,,"Sales and Marketing




                            Artmansha                        
Actively hiring













Bangalore",10000.0,"₹ 8,000 - 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Accounting & Bookkeeping,Finance,Effective Communication MS-Excel Tally,Accounting,11000.0,"₹ 10,000 - 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Business Development (Sales),Sales,,Business Development,5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Graphic Design Intern,Design,,"Graphic Design Intern




                            Memory Bank                        
Actively hiring













Mumbai",5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Company Secretary (CS),Other,,Company Secretary,9500.0,"₹ 7,000 - 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Learning & Development,Other,,Learning,21500.0,"₹ 18,000 - 25,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Key Accounts,Other,,"Key Accounts




                            Flipspaces                        
Actively hiring













Mumbai",9500.0,"₹ 9,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Law/Legal,Research,Legal Drafting Legal Research,Law,4000.0,"₹ 3,000 - 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Business Development Manager,Sales,,"Business Development Manager




                            SnapFind                        













Gurgaon",12500.0,"₹ 10,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Accounts,Finance,Accounting MS-Excel Tally,"Accounts




                            Indian Gifts Portal                        













Mumbai",11000.0,"₹ 10,000 - 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Marketing,Marketing,,"Marketing




                            Modenik Lifestyle Private Limited                        













Bangalore",12000.0,"₹ 12,000 /month",4,4 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,32500.0,"₹ 30,000 - 35,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Web Development,Tech,CSS HTML JavaScript MySQL PHP WordPress,Work from home,5000.0,"₹ 5,000 /month",1,1 Month,2025-07-16,Paid,Remote,1,True
Auditing & Accounting,Finance,MS-Excel,Auditing,5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Client Servicing,Other,,"Client Servicing




                            Anarock Property Consultant Private Limited                        













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Frontend Web Developer,Tech,CSS HTML Next.js React,"Frontend Web Developer




                            IREED Academy India Private Limited                        
Actively hiring













Gurgaon",13500.0,"₹ 12,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Graphic Design,Design,,"Graphic Design




                            IREED Academy India Private Limited                        
Actively hiring













Gurgaon",13500.0,"₹ 12,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,15000.0,"₹ 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Graphic Design,Design,Adobe Illustrator Adobe Photoshop Canva CorelDRAW,"Graphic Design




                            Chase                        
Actively hiring













Delhi",9500.0,"₹ 8,000 - 11,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Administration,Finance,MS-Excel MS-Office MS-PowerPoint,"Administration




                            NextGen Techno Ventures Private Limited                        













Mumbai",5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Business Strategy,Other,,"Business Strategy




                            Caliber Technology                        













Hyderabad",8500.0,"₹ 5,000 - 12,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Recruitment Consultant,Design,,"Recruitment Consultant




                            CII                        













Noida",5502.0,"₹ 5,001 - 6,003 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Data Analytics,Other,,"Data Analytics




                            Scaler                        
Actively hiring













Bangalore",32500.0,"₹ 30,000 - 35,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Customer Service/Customer Support,Other,Effective Communication,Customer Service,5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Delegate Acquisition,Design,Effective Communication MS-Excel,"Delegate Acquisition




                            Times Internet                        
Actively hiring













Gurgaon",9500.0,"₹ 9,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Business Development (Sales),Sales,Effective Communication MS-Excel,Business Development,12000.0,"₹ 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Search Engine Optimization (SEO),Marketing,Solutions Private Limited,Search Engine Optimization,12500.0,"₹ 10,000 - 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Content Writing,Marketing,Solutions Private Limited,"Content Writing




                            NoBroker Technologies Solutions Private Limited                        













Bangalore",12500.0,"₹ 10,000 - 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Marketing,Marketing,,"Marketing




                            Enrich Hair And Skin Solutions Private Limited                        













Mumbai",11000.0,"₹ 10,000 - 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,,Business Development,6000.0,"₹ 5,000 - 7,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,7500.0,"₹ 5,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Content Writer - Hindi,Marketing,Hindi Proficiency (Written),Content Writer,9000.0,"₹ 8,000 - 10,000 /month",4,4 Months,2025-07-16,Paid,Onsite,1,True
Video Editing/Making,Other,,Video Editing,6000.0,"₹ 6,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Program Management,Other,,Program Management,6500.0,"₹ 5,000 - 8,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,Effective Communication Lead Generation Sales,Business Development,27000.0,"₹ 27,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Sales,Sales,,"Sales




                            Eduonix Learning Solutions Private Limited                        













Navi Mumbai",6000.0,"₹ 6,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Trading,Finance,Financial Analysis Stock Trading,Work from home,2150.0,"₹ 1,800 - 2,500 /month",1,1 Month,2025-07-16,Paid,Remote,1,True
Financial Analyst,Finance,,Work from home,1750.0,"₹ 1,500 - 2,000 /month",1,1 Month,2025-07-16,Paid,Remote,0,True
Equity Market Research,Design,Finance Financial literacy Stock Trading,Work from home,2500.0,"₹ 2,000 - 3,000 /month",1,1 Month,2025-07-16,Paid,Remote,1,True
Content Marketing,Marketing,Copywriting Marketing Strategy Market research,"Content Marketing




                            Times Internet                        
Actively hiring













Noida",17500.0,"₹ 15,000 - 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Mission Prakriti,Other,,"Mission Prakriti




                            WWF India                        
Actively hiring













Guwahati",7500.0,"₹ 5,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Fundraising,Tech,,Work from home,0.0,Unpaid,1,1 Month,2025-07-16,Unpaid,Remote,0,False
Social Media Marketing,Marketing,,Work from home,0.0,Unpaid,1,1 Month,2025-07-16,Unpaid,Remote,0,False
Content Writing,Marketing,,Work from home,0.0,Unpaid,1,1 Month,2025-07-16,Unpaid,Remote,0,False
Technology,Tech,SAP Software Testing Web development,"Technology




                            Booking Holdings India COE                        
Actively hiring













Bangalore",75000.0,"₹ 75,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Financial Stock Market Research,Finance,,Work from home,3000.0,"₹ 2,000 - 4,000 /month",1,1 Month,2025-07-16,Paid,Remote,0,True
Administration,Operations,,Administration,5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,6000.0,"₹ 6,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Digital Marketing,Marketing,"Document Management Grievance H, ling MS-Excel Social Media Marketing","Digital Marketing




                            Cloudnine Hospital                        













Bangalore",15000.5,"₹ 15,000 - 15,001 /month",3,3 Months,2025-07-16,Paid,Onsite,2,True
Omni Sports Advisor,Other,,"Omni Sports Advisor




                            Decathlon Sport India Private Limited                        













Pune",12000.0,"₹ 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Graphic Designer,Design,,"Graphic Designer




                            Raghav Chadha                        
Actively hiring













Delhi",5000.0,"₹ 5,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
AI Video Content Creation,Tech,,"AI Video Content Creation




                            Raghav Chadha                        
Actively hiring













Delhi",5000.0,"₹ 5,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Content Writing,Marketing,,"Content Writing




                            Raghav Chadha                        
Actively hiring













Delhi",5000.0,"₹ 5,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Content Writing,Design,Creative Writing Digital Marketing,"Content Writing




                            HT Media                        













Mumbai",4000.0,"₹ 3,000 - 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Stock Market Learning & Outreach,Other,,Work from home,3500.0,"₹ 2,000 - 5,000 /month",1,1 Month,2025-07-16,Paid,Remote,0,True
Marketing And Sales,Marketing,,"Marketing And Sales




                            Reliance Nippon Life Insurance                        
Actively hiring













Kolkata",8000.0,"₹ 8,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Fashion Design,Design,CorelDRAW Fashion Designing,"Fashion Design




                            Wakefit Innovations Private Limited                        













Bangalore",7500.0,"₹ 5,000 - 10,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Video Production,Other,,"Video Production




                            NoBroker                        













Bangalore",12500.0,"₹ 10,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Marketing,Marketing,Market research,"Marketing




                            Western Refrigeration Private Limited                        













Mumbai",10000.0,"₹ 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Inside Sales,Design,Customer Acquisition Effective Communication,"Inside Sales




                            GenieHR Solutions Private Limited                        
Actively hiring













Mohali",32500.0,"₹ 15,000 - 50,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Marketing,Marketing,,"Marketing




                            Westcon Comstor                        













Mumbai",17500.0,"₹ 15,000 - 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,MS-Excel,Business Development,24000.0,"₹ 23,000 - 25,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Prompt Engineering,Other,,"Prompt Engineering




                            NoBroker                        
Actively hiring













Bangalore",22500.0,"₹ 20,000 - 25,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
E-Learning Course Graphics Designer/Animator,Design,Design Thinking Graphic Design Motion Graphics,E-Learning Course Graphics Designer/Animator,12500.0,"₹ 10,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Operations,Sales,Business Development Operations,"Operations




                            Delhivery Direct Local                        













Bangalore",15000.0,"₹ 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Delegate Acquisition,Design,Event Management Lead Generation Market research,"Delegate Acquisition




                            Times Internet                        
Actively hiring













Noida",9500.0,"₹ 9,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Telecalling,Finance,English Proficiency (Spoken) MS-Excel,Telecalling,22500.0,"₹ 15,000 - 30,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Human Resources (HR),Finance,English Proficiency (Spoken) MS-Excel MS-Word,Human Resources,10000.0,"₹ 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Recruitment,Design,English Proficiency (Spoken) MS-Office,"Recruitment




                            PropertyPistol                        













Navi Mumbai",12500.0,"₹ 10,000 - 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Content Programming,Tech,Operations,"Content Programming




                            Hungama Digital Media Entertainment Private Limited                        
Actively hiring













Mumbai",5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
MIS,Tech,Data Science MS-Excel,"MIS




                            Hungama Digital Media Entertainment Private Limited                        
Actively hiring













Mumbai",5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Video Editing/Making,Other,,Video Editing,7500.0,"₹ 5,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Sales Manager,Sales,,"Sales Manager




                            Pradeep Kumar                        













Delhi",33500.0,"₹ 7,000 - 60,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Sales & Marketing,Marketing,,Sales,9500.0,"₹ 9,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),Finance,MS-Excel MS-Word,Human Resources,3000.0,"₹ 3,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Fundraising,Tech,Analytics,"Fundraising




                            AAF                        













Mumbai",7500.0,"₹ 5,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Agriculture & Food Engineering,Other,,Agriculture,7500.0,"₹ 5,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Content Writing,Design,Creative Writing English Proficiency (Written),"Content Writing




                            Times Internet                        
Actively hiring













Noida",9500.0,"₹ 9,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Graphic Design,Design,,"Graphic Design




                            Enrich Hair And Skin Solutions Private Limited                        













Mumbai",11000.0,"₹ 10,000 - 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Relationship Manager,Other,Customer Support Effective Communication,"Relationship Manager




                            Scaler                        
Actively hiring













Bangalore",20000.0,"₹ 18,000 - 22,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
HRBP,HR,Effective Communication,"HRBP




                            Freecharge Payments Technology Private Limited                        
Actively hiring













Jaipur",12500.0,"₹ 10,000 - 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Environmental Sciences,Other,,"Environmental Sciences




                            WWF",6500.0,"₹ 5,000 - 8,000 /month",4,4 Months,2025-07-16,Paid,Onsite,0,True
Sales and Marketing,Marketing,Financial planning,"Sales and Marketing




                            Shriram Life Insurance Company Limited                        













Lucknow",12500.0,"₹ 10,000 - 15,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Marketing,Marketing,English Proficiency (Spoken),"Marketing




                            Times Internet                        
Actively hiring













Mumbai",9500.0,"₹ 9,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Video Editing/Making,Other,Video Editing Video Making,Video Editing,10000.0,"₹ 8,000 - 12,000 /month",1,1 Month,2025-07-16,Paid,Onsite,1,True
Business Development (Sales),Sales,MS-Excel,Business Development (Sales),20500.0,"₹ 18,000 - 23,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Video Editing/Making,Other,,Video Editing/Making,19000.0,"₹ 18,000 - 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Marketing,English Proficiency (Written) Finance Marketing,Business Development,12500.0,"₹ 10,000 - 15,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Visual Design,Design,Adobe Illustrator Adobe Photoshop Figma,"Visual Design




                            More Retail Private Limited                        
Actively hiring













Bangalore",32500.0,"₹ 30,000 - 35,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Human Resources (HR),HR,,Work from home,3500.0,"₹ 2,000 - 5,000 /month",1,1 Month,2025-07-16,Paid,Remote,0,True
Sampling,Other,,"Sampling




                            Navneet Education Limited                        













Mumbai",5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
WWF Mission Prakriti Assam,Other,,"WWF Mission Prakriti Assam




                            WWF",7500.0,"₹ 5,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Marketing And Sales,Marketing,,Marketing And Sales,3.0,₹ 3,2,2 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,0.0,Unpaid,2,2 Months,2025-07-16,Unpaid,Onsite,0,False
Logistics And Operations,Finance,Logistics Management MS-Excel Operations,"Logistics And Operations




                            Indian Gifts Portal                        
Actively hiring













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Data Science,Tech,,"Data Science




                            Kores",5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,,Business Development,30000.0,"₹ 25,000 - 35,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
UI/UX Design,Design,UI  UX Design Wireframing,UI/UX Design,4000.0,"₹ 3,000 - 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Video Editing/Making,Design,Animation Canva Video Editing Video Making,Video Editing,13500.0,"₹ 12,000 - 15,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Chartered Accountancy (CA),Other,,Chartered Accountancy (CA),20000.0,"₹ 15,000 - 25,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Operations,Finance,MS-Excel MS-Office MS-Word,"Operations




                            Decathlon Sport India Private Limited                        













Noida",10000.0,"₹ 10,000 /month",4,4 Months,2025-07-16,Paid,Onsite,1,True
Motion Graphics,Design,Motion Graphics,"Motion Graphics




                            More Retail Private Limited                        
Actively hiring













Bangalore",32500.0,"₹ 30,000 - 35,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Marketing Automation Executive,Marketing,,Marketing Automation Executive,5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Content and Social Media Marketing,Marketing,Social Media Marketing,"Content and Social Media Marketing




                            Puja Gupta                        













Kanpur",6500.0,"₹ 5,000 - 8,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Front End Development,Other,,"Front End Development




                            Ghar Pe Shiksha                        
Actively hiring













Delhi",11500.0,"₹ 8,000 - 15,000 /month",4,4 Months,2025-07-16,Paid,Onsite,0,True
Digital Media Intern For Video Production,Other,,"Digital Media Intern For Video Production




                            Aster DM Healthcare                        













Bangalore",10000.0,"₹ 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Sales Apprentice,Sales,Effective Communication,"Sales Apprentice




                            Halma                        













Mumbai",10000.0,"₹ 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Law/Legal,Other,,Work from home,0.0,Unpaid,3,3 Months,2025-07-16,Unpaid,Remote,0,False
Product Design,Design,Figma UI  UX Design Visual Design,"Product Design




                            Scaler                        
Actively hiring













Bangalore",32500.0,"₹ 30,000 - 35,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
B2B Business Development,Sales,B2B Sales Effective Communication Sales,"Business Development




                            Scaler                        
Actively hiring













Bangalore",22500.0,"₹ 20,000 - 25,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Human Resources (HR),HR,,Human Resources,12000.0,"₹ 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Compute Platform Engineer,Other,,Work from home,35000.0,"₹ 35,000 /month",6,6 Months,2025-07-16,Paid,Remote,0,True
Customer Service Executive,Other,Analytics Time Management,"Customer Service Executive




                            Mahindra Logistics Limited                        
Actively hiring













Mumbai",20000.0,"₹ 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
HR Information Systems,HR,Analytics Team Management VLOOKUP,"HR Information Systems




                            Mahindra Logistics Limited                        
Actively hiring













Mumbai",22500.0,"₹ 20,000 - 25,000 /month",12,12 Months,2025-07-16,Paid,Onsite,1,True
Operations Executive - B2C,Operations,,Operations Executive,20000.0,"₹ 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Operations Executive - Central Initiatives,Operations,Analytics Stakeholder Management,Operations Executive,20000.0,"₹ 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Sales and Marketing,Marketing,,Work from home,9000.0,"₹ 8,000 - 10,000 /month",2,2 Months,2025-07-16,Paid,Remote,0,True
Graphic Design,Design,,"Graphic Design




                            CollegeDekho",10000.0,"₹ 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Marketing,Marketing,,"Marketing




                            Mindspace Industries Private Limited                        
Actively hiring













Mumbai",5500.0,"₹ 5,000 - 6,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
CA Articleship,Finance,Accounting Auditing Taxation,"CA Articleship




                            Greenvissage Business Consulting                        
Actively hiring













Pune",9000.0,"₹ 8,000 - 10,000 /month",24,24 Months,2025-07-16,Paid,Onsite,1,True
Digital Marketing,Marketing,,"Digital Marketing




                            EConnectMobi                        
Actively hiring













Jamshedpur",6500.0,"₹ 5,000 - 8,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Architecture,Design,Adobe Photoshop AutoCAD,"Architecture




                            TOD Innovations Private Limited                        
Actively hiring













Delhi",10000.5,"₹ 10,000 - 10,001 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Human Resources (HR),HR,,Human Resources,2000.0,"₹ 2,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Event Management,Other,,"Event Management




                            Keen Foundation                        
Actively hiring













Bangalore 





Unpaid",0.0,Unpaid,2,2 Months,2025-07-16,Unpaid,Onsite,0,False
